commit	accept_len	memory_gb	speedup	status	description
e6b81b9	1.000000	10.6	—	keep	baseline (10min training)
7acc493	1.750000	10.6	—	keep	fix train/eval position alignment (next-token shift)
966ece2	2.000000	10.6	—	keep	cosine LR decay over budget (1.0 -> 0.1)
0a54a7a	1.750000	10.6	—	discard	lr 3e-4 -> 5e-4 (worse)
a9fa53b	2.000000	9.6	—	keep	drafter layers 5 -> 3 (simpler, equal metric, 195M)
17b9d49	1.750000	9.6	—	keep	add per_position_accuracy diagnostic (within-noise vs 2.0)
9ca95ca	1.750000	9.6	—	discard	lr 3e-4 -> 2e-4 + warmup 100 -> 250 (no help)
cddb457	2.500000	10.4	—	keep	inner_steps=4: K drafter updates per cached target forward
d61f41a	2.500000	10.4	—	discard	inner_steps 4 -> 8 (no further gain)
ea9b0d6	2.000000	11.4	—	discard	drafter layers 3 -> 5 (with K=4, fewer total steps)
d46a0df	2.000000	10.4	—	discard	gamma 4 -> 8 (worse)
aca2b1e	2.500000	10.4	—	discard	lr 3e-4 -> 2e-4 (no change)
abc1c16	1.750000	10.4	—	discard	lr 3e-4 -> 5e-4 (worse)
f15ce4e	2.000000	11.5	—	discard	intermediate 8192 -> 16384 (worse, fewer steps)
5c6673d	2.000000	10.3	—	discard	target_layer_ids = [17] (last layer only, worse)
b6499c5	1.750000	10.4	—	discard	betas (0.9, 0.95) -> (0.9, 0.999) (worse)
94bf6fe	2.750000	10.9	—	keep	target_layer_ids = all 18 layers (richer ctx, pos1 100%)
47ed057	2.000000	11.8	—	discard	drafter layers 3 -> 5 + all-layers ctx (slower, fewer steps)
78f8718	2.000000	10.4	—	discard	drafter layers 3 -> 2 + all-layers ctx (less capacity)
b7e30af	2.500000	10.9	—	discard	inner_steps 4 -> 8 + all-layers (worse)
f545a5c	2.500000	10.9	—	discard	gamma -> uniform + all-layers (worse)
ac59561	2.000000	12.6	—	discard	batch_size 4 -> 8 + all-layers (pos1 dropped)
edab23a	1.750000	10.9	—	discard	KL distillation alpha=0.5 (worse)
721e3fb	2.000000	10.9	—	discard	torch.compile (faster but worse convergence)
4df908c	2.000000	10.9	—	discard	flat LR (no cosine) + all-layers (pos1 dropped)
5926e5d	2.000000	10.9	—	discard	gamma -8 (reverse weighting, pos1 dropped)
81efe1c	2.500000	10.9	—	discard	rope_theta 1e6 -> 1e4 (slightly worse)
a3863c4	2.000000	10.9	—	discard	attention_dropout 0.0 -> 0.1 (worse)
42b135d	3.000000	10.9	—	keep	mask_token pad -> bos (pos1=pos2=100%)
21fa22e	2.000000	11.8	—	discard	5 layers + BOS (slower, fewer steps)
7f0290f	3.000000	10.9	—	discard	K=8 + BOS (eval_loss 0.29 but same metric)
78604bb	2.000000	10.9	—	discard	mask_token bos -> eos (worse)
cb1875c	2.500000	10.9	—	discard	lr 3e-4 -> 2e-4 + BOS (worse)
6c1ed86	2.000000	10.9	—	discard	mixed-mask training (dilutes eval distribution)
8657922	2.500000	11.4	—	discard	drafter layers 3 -> 4 (within noise)
